title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
jude (1996),3.0,23,Conan the Barbarian (1981),Under Siege (1992),Bonnie and Clyde (1967),Annie Hall (1977)
judge dredd (1995),2.8974358974358974,39,Michael (1996),Bonnie and Clyde (1967),Event Horizon (1997),As Good As It Gets (1997)
judgment night (1993),2.68,25,Emma (1996),Seven Years in Tibet (1997),"Killing Fields, The (1984)",Being There (1979)
jumanji (1995),3.3125,96,Star Trek: Generations (1994),Ulee's Gold (1997),Crash (1996),Star Trek IV: The Voyage Home (1986)
"jungle book, the (1994)",3.5647058823529414,85,"Rainmaker, The (1997)",Kiss the Girls (1997),Welcome to the Dollhouse (1995),Boogie Nights (1997)
jungle2jungle (1997),2.4393939393939394,132,"Edge, The (1997)",GoldenEye (1995),Volcano (1997),Down Periscope (1996)
junior (1994),3.022222222222222,45,G.I. Jane (1997),One Fine Day (1996),Down Periscope (1996),Phenomenon (1996)
jupiter's wife (1994),4.0,1,-,-,-,-
jurassic park (1993),3.7203065134099615,261,Alien: Resurrection (1997),"Craft, The (1996)","Ghost and the Darkness, The (1996)","River Wild, The (1994)"
"juror, the (1996)",2.817073170731707,82,Kolya (1996),Searching for Bobby Fischer (1993),"Ghost and the Darkness, The (1996)",Highlander (1986)
jury duty (1995),2.0,14,Mimic (1997),Big Night (1996),Michael (1996),"Devil's Own, The (1997)"
just cause (1995),3.142857142857143,28,Rosewood (1997),"Boot, Das (1981)",Scream 2 (1997),Beautiful Girls (1996)
kalifornia (1993),3.2203389830508473,59,Emma (1996),Fly Away Home (1996),Arsenic and Old Lace (1944),Kolya (1996)
kama sutra: a tale of love (1996),3.3181818181818183,22,"Crying Game, The (1992)","Philadelphia Story, The (1940)",Alien: Resurrection (1997),Father of the Bride Part II (1995)
kansas city (1996),2.260869565217391,23,Waterworld (1995),Crash (1996),Jackie Brown (1997),"Frighteners, The (1996)"
kaspar hauser (1993),4.25,8,Beavis and Butt-head Do America (1996),Cold Comfort Farm (1995),Boogie Nights (1997),Jackie Chan's First Strike (1996)
kazaam (1996),1.8,10,"Craft, The (1996)",Raising Arizona (1987),Terminator 2: Judgment Day (1991),Crash (1996)
keys to tulsa (1997),2.24,25,Conan the Barbarian (1981),Down Periscope (1996),"Room with a View, A (1986)",Welcome to the Dollhouse (1995)
kicked in the head (1997),2.5714285714285716,7,Apollo 13 (1995),Big Night (1996),Braveheart (1995),When Harry Met Sally... (1989)
kicking and screaming (1995),2.923076923076923,13,Eraser (1996),Conspiracy Theory (1997),"Craft, The (1996)",Seven Years in Tibet (1997)
"kid in king arthur's court, a (1995)",2.727272727272727,22,"Peacemaker, The (1997)",Leaving Las Vegas (1995),Austin Powers: International Man of Mystery (1997),Mystery Science Theater 3000: The Movie (1996)
kids (1995),3.061224489795918,49,Event Horizon (1997),"Sex, Lies, and Videotape (1989)",Lost Highway (1997),"Devil's Advocate, The (1997)"
kids in the hall: brain candy (1996),3.076923076923077,65,Rosewood (1997),In the Name of the Father (1993),Secrets & Lies (1996),Ulee's Gold (1997)
kika (1993),2.0,2,-,-,-,-
killer (bulletproof heart) (1994),2.5,4,Stargate (1994),Star Trek: The Motion Picture (1979),Star Trek: First Contact (1996),Chinatown (1974)
killer: a journal of murder (1995),4.0,1,-,-,-,-
"killing fields, the (1984)",4.132231404958677,121,Ulee's Gold (1997),"Magnificent Seven, The (1954)","Edge, The (1997)",Mimic (1997)
killing zoe (1994),3.475,40,Ben-Hur (1959),Benny & Joon (1993),Emma (1996),"Philadelphia Story, The (1940)"
kim (1950),3.2857142857142856,7,Ghost (1990),"Nightmare Before Christmas, The (1993)",True Romance (1993),Bonnie and Clyde (1967)
king of new york (1990),1.0,1,-,-,-,-
king of the hill (1993),3.5,4,"Blues Brothers, The (1980)",E.T. the Extra-Terrestrial (1982),Jaws (1975),"Maltese Falcon, The (1941)"
kingpin (1996),3.1296296296296298,162,Kolya (1996),"Professional, The (1994)","Devil's Advocate, The (1997)",Mr. Smith Goes to Washington (1939)
"kiss me, guido (1997)",3.161290322580645,31,True Romance (1993),"Lost World: Jurassic Park, The (1997)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Right Stuff, The (1983)"
kiss of death (1995),2.85,20,My Best Friend's Wedding (1997),Mr. Smith Goes to Washington (1939),"Boot, Das (1981)","Magnificent Seven, The (1954)"
kiss the girls (1997),3.4615384615384617,143,"River Wild, The (1994)",Cold Comfort Farm (1995),True Lies (1994),"Craft, The (1996)"
kissed (1996),3.0,6,Dead Man Walking (1995),William Shakespeare's Romeo and Juliet (1996),"Cable Guy, The (1996)",Interview with the Vampire (1994)
kolya (1996),3.9914529914529915,117,Happy Gilmore (1996),Kingpin (1996),Alien: Resurrection (1997),What's Eating Gilbert Grape (1993)
koyaanisqatsi (1983),3.490566037735849,53,Dante's Peak (1997),Tombstone (1993),Swingers (1996),Alien: Resurrection (1997)
kull the conqueror (1997),2.63768115942029,69,My Fair Lady (1964),"Magnificent Seven, The (1954)",Executive Decision (1996),Conan the Barbarian (1981)
kundun (1997),3.6904761904761907,42,Down Periscope (1996),Pinocchio (1940),Top Gun (1986),Tombstone (1993)
l.a. confidential (1997),4.161616161616162,297,Pinocchio (1940),Miracle on 34th Street (1994),Dumbo (1941),"Nightmare Before Christmas, The (1993)"
lady of burlesque (1943),4.0,1,-,-,-,-
ladybird ladybird (1994),2.75,4,True Romance (1993),Rosewood (1997),Crimson Tide (1995),Star Trek III: The Search for Spock (1984)
lamerica (1994),3.75,4,"First Wives Club, The (1996)","Piano, The (1993)",Cinema Paradiso (1988),Shine (1996)
land before time iii: the time of the great giving (1995) (v),1.6666666666666667,6,"Great Escape, The (1963)","Clockwork Orange, A (1971)",True Romance (1993),Blade Runner (1982)
land and freedom (tierra y libertad) (1995),3.0,1,-,-,-,-
larger than life (1996),2.3333333333333335,9,Maverick (1994),Spawn (1997),"Craft, The (1996)",Jungle2Jungle (1997)
lashou shentan (1992),1.0,1,-,-,-,-
lassie (1994),2.2857142857142856,7,Crimson Tide (1995),"Manchurian Candidate, The (1962)","Lost World: Jurassic Park, The (1997)",Lawrence of Arabia (1962)
last action hero (1993),2.7457627118644066,59,Seven Years in Tibet (1997),Cop Land (1997),Apt Pupil (1998),As Good As It Gets (1997)
last dance (1996),3.111111111111111,9,To Kill a Mockingbird (1962),Get Shorty (1995),Sense and Sensibility (1995),Secrets & Lies (1996)
"last klezmer: leopold kozlowski, his life and music, the (1995)",3.0,4,Kolya (1996),Heat (1995),Secrets & Lies (1996),"Full Monty, The (1997)"
last man standing (1996),2.660377358490566,53,"Ghost and the Darkness, The (1996)",Kolya (1996),Being There (1979),"Usual Suspects, The (1995)"
last summer in the hamptons (1995),2.3333333333333335,3,"Truth About Cats & Dogs, The (1996)",My Left Foot (1989),On Golden Pond (1981),Stand by Me (1986)
"last supper, the (1995)",3.4482758620689653,58,"Nightmare Before Christmas, The (1993)","Ice Storm, The (1997)",Gandhi (1982),Interview with the Vampire (1994)
"last time i committed suicide, the (1997)",2.2857142857142856,7,Brazil (1985),"Rainmaker, The (1997)","Nightmare Before Christmas, The (1993)",Sabrina (1995)
"last time i saw paris, the (1954)",3.6666666666666665,3,Four Weddings and a Funeral (1994),Cape Fear (1991),When Harry Met Sally... (1989),Clear and Present Danger (1994)
"last of the mohicans, the (1992)",3.546875,128,Ulee's Gold (1997),Good Will Hunting (1997),My Best Friend's Wedding (1997),William Shakespeare's Romeo and Juliet (1996)
late bloomers (1996),3.4,5,Chasing Amy (1997),Secrets & Lies (1996),Rosewood (1997),"People vs. Larry Flynt, The (1996)"
laura (1944),4.1,40,Down Periscope (1996),Rosewood (1997),"Wrong Trousers, The (1993)",Grumpier Old Men (1995)
lawnmower man 2: beyond cyberspace (1996),1.7142857142857142,21,Donnie Brasco (1997),Jackie Brown (1997),"Philadelphia Story, The (1940)","Remains of the Day, The (1993)"
"lawnmower man, the (1992)",2.4461538461538463,65,Basic Instinct (1992),Wag the Dog (1997),Michael (1996),Conspiracy Theory (1997)
lawrence of arabia (1962),4.23121387283237,173,Beautiful Girls (1996),Good Will Hunting (1997),Being There (1979),My Left Foot (1989)
"lay of the land, the (1997)",2.5,4,"Devil's Own, The (1997)",Courage Under Fire (1996),"English Patient, The (1996)",Tin Cup (1996)
"leading man, the (1996)",3.75,4,"English Patient, The (1996)",Rosewood (1997),Liar Liar (1997),In & Out (1997)
leave it to beaver (1997),1.8409090909090908,44,Fried Green Tomatoes (1991),Grumpier Old Men (1995),Miracle on 34th Street (1994),Mary Poppins (1964)
leaving las vegas (1995),3.697986577181208,298,Wag the Dog (1997),"Ice Storm, The (1997)","Deer Hunter, The (1978)",Raging Bull (1980)
legal deceit (1997),3.4,5,Liar Liar (1997),Kiss the Girls (1997),Contact (1997),Alien: Resurrection (1997)
legends of the fall (1994),3.45679012345679,81,"Ghost and the Darkness, The (1996)",Bound (1996),Amistad (1997),Ulee's Gold (1997)
"leopard son, the (1996)",1.0,1,-,-,-,-
"letter from death row, a (1998)",4.333333333333333,3,Lost Highway (1997),Starship Troopers (1997),"Boot, Das (1981)",Fly Away Home (1996)
liar liar (1997),3.156701030927835,485,Batman Forever (1995),"Mask, The (1994)",Down Periscope (1996),Con Air (1997)
liebelei (1933),1.0,1,-,-,-,-
"life less ordinary, a (1997)",3.0754716981132075,53,Pinocchio (1940),Star Trek: The Motion Picture (1979),Pink Floyd - The Wall (1982),"Magnificent Seven, The (1954)"
life with mikey (1993),2.2857142857142856,7,"River Wild, The (1994)",Crimson Tide (1995),Grosse Pointe Blank (1997),Lone Star (1996)
lightning jack (1994),3.0,10,Casablanca (1942),Some Like It Hot (1959),"River Wild, The (1994)","Magnificent Seven, The (1954)"
like water for chocolate (como agua para chocolate) (1992),3.804054054054054,148,Waterworld (1995),Rosewood (1997),"Manchurian Candidate, The (1962)",Lone Star (1996)
"line king: al hirschfeld, the (1996)",3.0,2,Four Weddings and a Funeral (1994),"Empire Strikes Back, The (1980)",Cold Comfort Farm (1995),Jaws (1975)
"lion king, the (1994)",3.7818181818181817,220,"Ice Storm, The (1997)","Manchurian Candidate, The (1962)","Craft, The (1996)",Beauty and the Beast (1991)
little big league (1994),2.875,16,Down Periscope (1996),"Ghost and the Darkness, The (1996)",Swingers (1996),"Killing Fields, The (1984)"
little buddha (1993),3.3181818181818183,22,G.I. Jane (1997),Lost Highway (1997),Patton (1970),Volcano (1997)
little city (1998),3.5,2,-,-,-,-
little lord fauntleroy (1936),3.1666666666666665,12,Primal Fear (1996),Kingpin (1996),Good Will Hunting (1997),Face/Off (1997)
little odessa (1994),2.6,10,Mimic (1997),"Crow, The (1994)","Ghost and the Darkness, The (1996)",Multiplicity (1996)
"little princess, a (1995)",3.658536585365854,41,Jackie Brown (1997),Absolute Power (1997),Young Guns (1988),"Game, The (1997)"
"little princess, the (1939)",3.5555555555555554,9,Seven Years in Tibet (1997),On Golden Pond (1981),"Piano, The (1993)",Platoon (1986)
"little rascals, the (1994)",2.7222222222222223,18,Ulee's Gold (1997),Amistad (1997),"Ice Storm, The (1997)",Spawn (1997)
little women (1994),3.676470588235294,102,Fly Away Home (1996),M*A*S*H (1970),My Best Friend's Wedding (1997),Amistad (1997)
live nude girls (1995),3.0869565217391304,23,Boogie Nights (1997),"Edge, The (1997)",Spawn (1997),Miracle on 34th Street (1994)
living in oblivion (1995),3.740740740740741,27,"Magnificent Seven, The (1954)",Kolya (1996),"Sex, Lies, and Videotape (1989)","Killing Fields, The (1984)"
loaded (1994),2.4,5,Multiplicity (1996),Cold Comfort Farm (1995),Dragonheart (1996),G.I. Jane (1997)
local hero (1983),3.9682539682539684,63,Spawn (1997),Rosewood (1997),"Lost World: Jurassic Park, The (1997)",Executive Decision (1996)
loch ness (1995),2.5,4,Happy Gilmore (1996),Schindler's List (1993),Eraser (1996),Mystery Science Theater 3000: The Movie (1996)
"locusts, the (1997)",2.0,5,Braveheart (1995),Courage Under Fire (1996),Kolya (1996),Apollo 13 (1995)
lone star (1996),4.053475935828877,187,Cold Comfort Farm (1995),"Good, The Bad and The Ugly, The (1966)",My Left Foot (1989),Rosewood (1997)
"long kiss goodnight, the (1996)",3.4702702702702704,185,Some Like It Hot (1959),"Deer Hunter, The (1978)",Crimson Tide (1995),Con Air (1997)
looking for richard (1996),3.727272727272727,55,Fly Away Home (1996),"Close Shave, A (1995)",On Golden Pond (1981),"Abyss, The (1989)"
lord of illusions (1995),2.4166666666666665,24,Emma (1996),"Close Shave, A (1995)",Kiss the Girls (1997),Four Weddings and a Funeral (1994)
losing chase (1996),3.25,8,"Edge, The (1997)",Volcano (1997),Tin Cup (1996),"Saint, The (1997)"
losing isaiah (1995),3.0,12,"Abyss, The (1989)",Big Night (1996),My Best Friend's Wedding (1997),Dragonheart (1996)
lost highway (1997),3.136,125,"Philadelphia Story, The (1940)",Down Periscope (1996),Michael (1996),Big Night (1996)
lost horizon (1937),3.9411764705882355,34,Happy Gilmore (1996),Donnie Brasco (1997),Welcome to the Dollhouse (1995),Austin Powers: International Man of Mystery (1997)
"lost world: jurassic park, the (1997)",2.9430379746835444,158,Pretty Woman (1990),"Magnificent Seven, The (1954)",Star Trek III: The Search for Spock (1984),"Ghost and the Darkness, The (1996)"
lost in space (1998),3.1666666666666665,18,Mr. Holland's Opus (1995),Chinatown (1974),Taxi Driver (1976),"Maltese Falcon, The (1941)"
lotto land (1995),1.0,1,-,-,-,-
love & human remains (1993),3.1666666666666665,12,Jackie Brown (1997),Bram Stoker's Dracula (1992),Eraser (1996),Tombstone (1993)
love affair (1994),2.8333333333333335,12,Event Horizon (1997),Hoop Dreams (1994),My Best Friend's Wedding (1997),Good Will Hunting (1997)
"love bug, the (1969)",2.78,50,Welcome to the Dollhouse (1995),Primal Fear (1996),My Best Friend's Wedding (1997),James and the Giant Peach (1996)
love is all there is (1996),3.0,1,-,-,-,-
love jones (1997),3.0952380952380953,42,Batman Forever (1995),"Godfather: Part II, The (1974)",Mr. Smith Goes to Washington (1939),"Good, The Bad and The Ugly, The (1966)"
love serenade (1996),3.0,4,While You Were Sleeping (1995),Austin Powers: International Man of Mystery (1997),George of the Jungle (1997),Mars Attacks! (1996)
love and death on long island (1997),2.5,2,"Devil's Advocate, The (1997)",Starship Troopers (1997),Heat (1995),"Clockwork Orange, A (1971)"
love and other catastrophes (1996),2.857142857142857,7,James and the Giant Peach (1996),Rumble in the Bronx (1995),Big Night (1996),Boogie Nights (1997)
love and a .45 (1994),3.125,8,True Romance (1993),Carrie (1976),Cop Land (1997),As Good As It Gets (1997)
love in the afternoon (1957),3.9,10,Glory (1989),Absolute Power (1997),William Shakespeare's Romeo and Juliet (1996),Nikita (La Femme Nikita) (1990)
love! valour! compassion! (1997),3.6153846153846154,26,Highlander (1986),Eraser (1996),Waterworld (1995),"Edge, The (1997)"
lover's knot (1996),2.0,3,"Remains of the Day, The (1993)",Ulee's Gold (1997),Eraser (1996),Starship Troopers (1997)
"low down dirty shame, a (1994)",2.5,10,"Abyss, The (1989)","Wrong Trousers, The (1993)",William Shakespeare's Romeo and Juliet (1996),Courage Under Fire (1996)
"low life, the (1994)",1.0,1,-,-,-,-
m (1931),4.0,44,One Fine Day (1996),Executive Decision (1996),What's Eating Gilbert Grape (1993),As Good As It Gets (1997)
m*a*s*h (1970),3.912621359223301,206,Little Women (1994),Ulee's Gold (1997),"Wrong Trousers, The (1993)",Chinatown (1974)
m. butterfly (1993),3.2222222222222223,18,Annie Hall (1977),One Fine Day (1996),"Edge, The (1997)",Rosewood (1997)
murder and murder (1996),2.0,1,-,-,-,-
ma vie en rose (my life in pink) (1997),3.45,20,Grumpier Old Men (1995),Star Trek: Generations (1994),Multiplicity (1996),"Ghost and the Darkness, The (1996)"
"machine, the (1994)",1.5,2,"Frighteners, The (1996)",Jackie Chan's First Strike (1996),Mystery Science Theater 3000: The Movie (1996),"Rock, The (1996)"
mad city (1997),3.25531914893617,47,"Killing Fields, The (1984)",Sneakers (1992),"Nightmare Before Christmas, The (1993)","First Wives Club, The (1996)"
mad dog time (1996),3.0,1,-,-,-,-
mad love (1995),2.1538461538461537,13,Down Periscope (1996),Cold Comfort Farm (1995),101 Dalmatians (1996),Evita (1996)
madame butterfly (1995),3.5714285714285716,7,Heat (1995),"Craft, The (1996)",Leaving Las Vegas (1995),While You Were Sleeping (1995)
made in america (1993),2.5185185185185186,27,Cop Land (1997),Secrets & Lies (1996),Dante's Peak (1997),Dragonheart (1996)
"madness of king george, the (1994)",3.769230769230769,91,Bound (1996),Waterworld (1995),Ulee's Gold (1997),My Left Foot (1989)
madonna: truth or dare (1991),2.4705882352941178,17,Jackie Brown (1997),Gattaca (1997),Ulee's Gold (1997),Mimic (1997)
"magic hour, the (1998)",3.6,5,My Left Foot (1989),Tomorrow Never Dies (1997),Dante's Peak (1997),"Crow, The (1994)"
"magnificent seven, the (1954)",3.9421487603305785,121,"Lost World: Jurassic Park, The (1997)","Wrong Trousers, The (1993)",What's Eating Gilbert Grape (1993),Clerks (1994)
major payne (1994),2.473684210526316,19,As Good As It Gets (1997),Apt Pupil (1998),"Maltese Falcon, The (1941)",Cool Hand Luke (1967)
malice (1993),3.1739130434782608,46,G.I. Jane (1997),Spawn (1997),"Boot, Das (1981)","Wrong Trousers, The (1993)"
mallrats (1995),3.4444444444444446,54,Cool Hand Luke (1967),Ulee's Gold (1997),"Wrong Trousers, The (1993)","Bridge on the River Kwai, The (1957)"
"maltese falcon, the (1941)",4.2101449275362315,138,Beautiful Girls (1996),Swingers (1996),Casablanca (1942),James and the Giant Peach (1996)
mamma roma (1962),4.0,1,-,-,-,-
"man who knew too little, the (1997)",2.923076923076923,52,"Philadelphia Story, The (1940)","Good, The Bad and The Ugly, The (1966)","Mask, The (1994)","Maltese Falcon, The (1941)"
"man who would be king, the (1975)",4.025,80,My Left Foot (1989),Jackie Brown (1997),Austin Powers: International Man of Mystery (1997),"Frighteners, The (1996)"
"man without a face, the (1993)",3.5441176470588234,68,Scream 2 (1997),Jungle2Jungle (1997),Murder at 1600 (1997),Crash (1996)
"man from down under, the (1943)",1.0,1,-,-,-,-
"man in the iron mask, the (1998)",3.4166666666666665,12,Happy Gilmore (1996),Mr. Smith Goes to Washington (1939),My Fair Lady (1964),"Last of the Mohicans, The (1992)"
"man of no importance, a (1994)",3.4285714285714284,7,"Frighteners, The (1996)",Mars Attacks! (1996),"Deer Hunter, The (1978)",Maverick (1994)
man of the house (1995),2.111111111111111,9,My Best Friend's Wedding (1997),Gattaca (1997),"Right Stuff, The (1983)","Great Escape, The (1963)"
man of the year (1995),3.111111111111111,9,Star Trek III: The Search for Spock (1984),"Usual Suspects, The (1995)","Bridge on the River Kwai, The (1957)",Beavis and Butt-head Do America (1996)
"manchurian candidate, the (1962)",4.259541984732825,131,"Cable Guy, The (1996)",Strictly Ballroom (1992),Crimson Tide (1995),Under Siege (1992)
manhattan (1979),3.769230769230769,91,Benny & Joon (1993),Annie Hall (1977),Glory (1989),Wag the Dog (1997)
manhattan murder mystery (1993),3.6296296296296298,27,"Craft, The (1996)","Ice Storm, The (1997)",Babe (1995),Amistad (1997)
manny & lo (1996),3.1538461538461537,13,"Killing Fields, The (1984)",Ghost (1990),Butch Cassidy and the Sundance Kid (1969),Broken Arrow (1996)
manon of the spring (manon des sources) (1986),4.120689655172414,58,Crash (1996),"Net, The (1995)",Dante's Peak (1997),Con Air (1997)
margaret's museum (1995),4.0,6,Clueless (1995),Boogie Nights (1997),Twelve Monkeys (1995),Natural Born Killers (1994)
"mark of zorro, the (1940)",3.6153846153846154,13,"Cable Guy, The (1996)","Saint, The (1997)","Lost World: Jurassic Park, The (1997)",Reservoir Dogs (1992)
marked for death (1990),2.5,22,Little Women (1994),Mother (1996),Everyone Says I Love You (1996),Fly Away Home (1996)
marlene dietrich: shadow and light (1996),5.0,1,-,-,-,-
mars attacks! (1996),2.847926267281106,217,Lost Highway (1997),Alien: Resurrection (1997),"Devil's Advocate, The (1997)",Mystery Science Theater 3000: The Movie (1996)
marvin's room (1996),3.58974358974359,78,Army of Darkness (1993),Natural Born Killers (1994),Cape Fear (1991),Mother (1996)
mary poppins (1964),3.7247191011235956,178,"Sound of Music, The (1965)",Austin Powers: International Man of Mystery (1997),My Fair Lady (1964),Kiss the Girls (1997)
mary reilly (1996),2.8205128205128207,39,"Nightmare Before Christmas, The (1993)",William Shakespeare's Romeo and Juliet (1996),Alien: Resurrection (1997),"Killing Fields, The (1984)"
mary shelley's frankenstein (1994),3.0677966101694913,59,Seven Years in Tibet (1997),Michael (1996),Cop Land (1997),My Best Friend's Wedding (1997)
"mask, the (1994)",3.193798449612403,129,As Good As It Gets (1997),"Hunchback of Notre Dame, The (1996)",Volcano (1997),Tomorrow Never Dies (1997)
mat' i syn (1997),1.0,1,-,-,-,-
"matchmaker, the (1997)",3.176470588235294,51,Welcome to the Dollhouse (1995),"Sex, Lies, and Videotape (1989)",Beavis and Butt-head Do America (1996),"Killing Fields, The (1984)"
matilda (1996),3.210526315789474,95,Good Will Hunting (1997),Austin Powers: International Man of Mystery (1997),Star Trek: Generations (1994),Stand by Me (1986)
maverick (1994),3.46875,128,Starship Troopers (1997),"Ice Storm, The (1997)","Peacemaker, The (1997)",Murder at 1600 (1997)
maximum risk (1996),2.8,20,Ulee's Gold (1997),In the Name of the Father (1993),Mighty Aphrodite (1995),Seven Years in Tibet (1997)
maya lin: a strong clear vision (1994),4.5,4,Dead Man Walking (1995),Cape Fear (1991),Platoon (1986),"Philadelphia Story, The (1940)"
"maybe, maybe not (bewegte mann, der) (1994)",3.5,8,Dragonheart (1996),Mother (1996),"Edge, The (1997)",Mimic (1997)
mchale's navy (1997),2.1884057971014492,69,101 Dalmatians (1996),"Sound of Music, The (1965)","Great Escape, The (1963)",One Fine Day (1996)
mediterraneo (1991),3.676470588235294,34,Spawn (1997),Outbreak (1995),Bram Stoker's Dracula (1992),"Wrong Trousers, The (1993)"
meet john doe (1941),3.92,25,Seven Years in Tibet (1997),"Professional, The (1994)",Reservoir Dogs (1992),Jungle2Jungle (1997)
meet me in st. louis (1944),3.3548387096774195,31,"Peacemaker, The (1997)","Frighteners, The (1996)",Grumpier Old Men (1995),Father of the Bride Part II (1995)
meet wally sparks (1997),2.142857142857143,7,"Close Shave, A (1995)",Kolya (1996),Under Siege (1992),Everyone Says I Love You (1996)
men with guns (1997),3.5,2,"Full Monty, The (1997)",Trainspotting (1996),Rumble in the Bronx (1995),"Postino, Il (1994)"
men in black (1997),3.745874587458746,303,Tomorrow Never Dies (1997),Michael (1996),As Good As It Gets (1997),Back to the Future (1985)
men of means (1998),2.0,2,G.I. Jane (1997),Seven Years in Tibet (1997),Amistad (1997),Contact (1997)
menace ii society (1993),3.46,50,My Left Foot (1989),As Good As It Gets (1997),"Sex, Lies, and Videotape (1989)",Ulee's Gold (1997)
mercury rising (1998),3.4285714285714284,7,Crimson Tide (1995),Ulee's Gold (1997),Jaws (1975),Mighty Aphrodite (1995)
metisse (café au lait) (1993),2.3333333333333335,6,Top Gun (1986),"Lost World: Jurassic Park, The (1997)",Dave (1993),Indiana Jones and the Last Crusade (1989)
metro (1997),2.9166666666666665,36,Everyone Says I Love You (1996),Kolya (1996),Scream 2 (1997),Strictly Ballroom (1992)
miami rhapsody (1995),2.6,15,Event Horizon (1997),Happy Gilmore (1996),Strictly Ballroom (1992),Ulee's Gold (1997)
michael (1996),3.319327731092437,119,Home Alone (1990),"Great Escape, The (1963)",Lost Highway (1997),Ghost (1990)
michael collins (1996),3.4565217391304346,92,Con Air (1997),"Philadelphia Story, The (1940)",Absolute Power (1997),Beautiful Girls (1996)
microcosmos: le peuple de l'herbe (1996),3.75,24,Patton (1970),Conan the Barbarian (1981),Dumbo (1941),"Deer Hunter, The (1978)"
midnight dancers (sibak) (1994),2.8,5,"River Wild, The (1994)",Chasing Amy (1997),"Long Kiss Goodnight, The (1996)",Like Water For Chocolate (Como agua para chocolate) (1992)
midnight in the garden of good and evil (1997),3.1625,80,"Craft, The (1996)",My Fair Lady (1964),Grumpier Old Men (1995),Little Women (1994)
mighty aphrodite (1995),3.4184782608695654,184,Lost Highway (1997),"Deer Hunter, The (1978)","People vs. Larry Flynt, The (1996)",Wag the Dog (1997)
mighty morphin power rangers: the movie (1995),2.272727272727273,11,"Great Escape, The (1963)",Lawrence of Arabia (1962),"Manchurian Candidate, The (1962)","Killing Fields, The (1984)"
"mighty, the (1998)",1.0,3,-,-,-,-
milk money (1994),2.72972972972973,37,Independence Day (ID4) (1996),Fried Green Tomatoes (1991),Michael (1996),Sleepless in Seattle (1993)
mille bolle blu (1993),1.0,1,-,-,-,-
miller's crossing (1990),3.651685393258427,89,True Romance (1993),Donnie Brasco (1997),"Wrong Trousers, The (1993)",Mimic (1997)
mimic (1997),2.742574257425743,101,Pinocchio (1940),"Bridge on the River Kwai, The (1957)",Under Siege (1992),Miracle on 34th Street (1994)
mina tannenbaum (1994),3.6666666666666665,6,"Edge, The (1997)",Kolya (1996),Annie Hall (1977),Down Periscope (1996)
miracle on 34th street (1994),3.722772277227723,101,Alien: Resurrection (1997),Rosewood (1997),Mimic (1997),It's a Wonderful Life (1946)
mirage (1995),3.0,1,-,-,-,-
"mirror has two faces, the (1996)",3.3636363636363638,66,Alien: Resurrection (1997),"Great Escape, The (1963)",Ghost (1990),Con Air (1997)
mission: impossible (1996),3.313953488372093,344,GoldenEye (1995),Cinderella (1950),Miracle on 34th Street (1994),Batman Forever (1995)
"misérables, les (1995)",3.619047619047619,21,G.I. Jane (1997),Event Horizon (1997),"Wrong Trousers, The (1993)",Army of Darkness (1993)
mixed nuts (1994),2.533333333333333,15,"First Wives Club, The (1996)",G.I. Jane (1997),Good Will Hunting (1997),Secrets & Lies (1996)
"modern affair, a (1995)",1.0,1,-,-,-,-
moll flanders (1996),3.5,42,Alien: Resurrection (1997),Kiss the Girls (1997),In the Name of the Father (1993),12 Angry Men (1957)
mondo (1996),3.0,3,Fly Away Home (1996),Rosewood (1997),Air Force One (1997),"Peacemaker, The (1997)"
money talks (1997),2.8152173913043477,92,Mr. Smith Goes to Washington (1939),"Boot, Das (1981)",Batman (1989),Beauty and the Beast (1991)
money train (1995),2.511627906976744,43,My Left Foot (1989),Down Periscope (1996),Seven Years in Tibet (1997),Kolya (1996)
"month by the lake, a (1995)",3.3333333333333335,9,"Manchurian Candidate, The (1962)","Adventures of Priscilla, Queen of the Desert, The (1994)",Bram Stoker's Dracula (1992),"Crow, The (1994)"
monty python and the holy grail (1974),4.0664556962025316,316,Monty Python's Life of Brian (1979),Ulee's Gold (1997),"Magnificent Seven, The (1954)","Philadelphia Story, The (1940)"
monty python's life of brian (1979),3.7471264367816093,174,Crash (1996),"Hudsucker Proxy, The (1994)",Monty Python and the Holy Grail (1974),Welcome to the Dollhouse (1995)
moonlight and valentino (1995),2.5714285714285716,7,Army of Darkness (1993),Rear Window (1954),"Magnificent Seven, The (1954)",Butch Cassidy and the Sundance Kid (1969)
mortal kombat (1995),2.877551020408163,49,Seven Years in Tibet (1997),Kiss the Girls (1997),"Edge, The (1997)","Peacemaker, The (1997)"
mortal kombat: annihilation (1997),1.9534883720930232,43,Cape Fear (1991),"Philadelphia Story, The (1940)",Cop Land (1997),Welcome to the Dollhouse (1995)
"mostro, il (1994)",1.0,1,-,-,-,-
mother (1996),3.1301775147928996,169,Platoon (1986),Natural Born Killers (1994),Real Genius (1985),Basic Instinct (1992)
mother night (1996),3.1818181818181817,22,Dragonheart (1996),Amistad (1997),Good Will Hunting (1997),Mr. Smith Goes to Washington (1939)
